TO REVIEW COLLECTED DATA FROM DM01DB02 - CCBS DATABASE - VKTM PRIORITY 



F S UID        PID  PPID  C PRI  NI ADDR SZ WCHAN  STIME TTY          TIME CMD
0 S oracle   12757     1  0  75   0 - 2160673 ?    Sep06 ?        00:00:00 ora_diag_fsdb2
0 S oracle   12760     1  0  75   0 - 2159664 ?    Sep06 ?        00:00:00 ora_dbrm_fsdb2
0 S oracle   12762     1  0  75   0 - 2159135 ?    Sep06 ?        00:00:02 ora_ping_fsdb2
0 S oracle   12764     1  0  75   0 - 2159135 ?    Sep06 ?        00:00:00 ora_acms_fsdb2
0 S oracle   12766     1  0  75   0 - 2159357 ?    Sep06 ?        00:00:00 ora_dskm_fsdb2
0 S oracle   12768     1  0  75   0 - 2161969 ?    Sep06 ?        00:04:42 ora_dia0_fsdb2
0 S oracle   12770     1  0  75   0 - 2162266 ?    Sep06 ?        00:02:14 ora_lmon_fsdb2
0 S oracle   12772     1  0  75   0 - 2163147 ?    Sep06 ?        00:00:25 ora_lmd0_fsdb2
0 S oracle   12775     1  0  58   - - 2162847 ?    Sep06 ?        00:00:06 ora_lms0_fsdb2
0 S oracle   12779     1  0  58   - - 2162847 ?    Sep06 ?        00:00:08 ora_lms1_fsdb2
0 S oracle   12783     1  0  75   0 - 2159651 ?    Sep06 ?        00:00:00 ora_rms0_fsdb2
0 S oracle   12785     1  0  75   0 - 2159281 ?    Sep06 ?        00:00:00 ora_lmhb_fsdb2
0 S oracle   12787     1  0  75   0 - 2159135 ?    Sep06 ?        00:00:00 ora_mman_fsdb2
0 S oracle   12789     1  0  75   0 - 2162758 ?    Sep06 ?        00:00:06 ora_dbw0_fsdb2
0 S oracle   12791     1  0  75   0 - 2162562 ?    Sep06 ?        00:00:05 ora_dbw1_fsdb2
0 S oracle   12793     1  0  75   0 - 2162556 ?    Sep06 ?        00:00:05 ora_dbw2_fsdb2
0 S oracle   12795     1  0  75   0 - 2165443 ?    Sep06 ?        00:00:11 ora_lgwr_fsdb2
0 S oracle   12815     1  0  75   0 - 2160039 ?    Sep06 ?        00:00:47 ora_ckpt_fsdb2
0 S oracle   12817     1  0  75   0 - 2161073 ?    Sep06 ?        00:00:13 ora_smon_fsdb2
0 S oracle   12822     1  0  75   0 - 2159636 ?    Sep06 ?        00:00:00 ora_reco_fsdb2
0 S oracle   12824     1  0  75   0 - 2159412 ?    Sep06 ?        00:00:00 ora_rbal_fsdb2
0 S oracle   12826     1  0  78   0 - 2159614 pipe_w Sep06 ?      00:00:09 ora_asmb_fsdb2
0 S oracle   12870     1  0  75   0 - 2160851 ?    Sep06 ?        00:02:18 ora_mmon_fsdb2
0 S oracle   12873     1  0  75   0 - 2159569 ?    Sep06 ?        00:00:32 ora_mmnl_fsdb2
0 S oracle   12875     1  0  75   0 - 123896 ?     Sep06 ?        00:00:00 oracle+ASM2_asmb_fsdb2 (DESCRIPTION=(LOCAL=YES)(ADDRESS=(PROTOCOL=beq)))
0 S oracle   12877     1  0  78   0 - 2160693 ?    Sep06 ?        00:00:00 ora_d000_fsdb2
0 S oracle   12885     1  0  78   0 - 2159434 ?    Sep06 ?        00:00:00 ora_s000_fsdb2
0 S oracle   12889     1  0  78   0 - 2161076 ?    Sep06 ?        00:00:00 ora_mark_fsdb2
0 S oracle   12899     1  0  75   0 - 2159665 ?    Sep06 ?        00:00:52 ora_lck0_fsdb2
0 S oracle   12979     1  0  75   0 - 2160639 ?    Sep06 ?        00:00:00 ora_rsmn_fsdb2
0 S oracle   13293     1  0  78   0 - 2159135 ?    Sep06 ?        00:00:00 ora_gtx0_fsdb2
0 S oracle   13295     1  0  78   0 - 2159279 ?    Sep06 ?        00:00:00 ora_rcbg_fsdb2
0 S oracle   13301     1  0  75   0 - 2159135 ?    Sep06 ?        00:00:00 ora_qmnc_fsdb2
0 S oracle   13334     1  0  75   0 - 2163024 ?    Sep06 ?        00:01:24 ora_cjq0_fsdb2
0 S oracle   13502     1  0  75   0 - 2161194 ?    Sep06 ?        00:00:02 ora_q001_fsdb2
0 S oracle   17311     1  0  75   0 - 2159135 ?    Sep06 ?        00:00:00 ora_smco_fsdb2
0 S oracle   26443     1  0  75   0 - 2159484 ?    Sep06 ?        00:00:00 ora_o000_fsdb2
0 S oracle   26445     1  0  78   0 - 123788 pipe_w Sep06 ?       00:00:05 oracle+ASM2_o000_fsdb2 (DESCRIPTION=(LOCAL=YES)(ADDRESS=(PROTOCOL=beq)))
