 129 | 03/15/2012 | 16:31:14 | System ACPI Power State #0x26 | S0/G0: working | Deasserted
 12a | 03/15/2012 | 16:31:14 | System ACPI Power State #0x26 | S5/G2: soft-off | Asserted
 12b | 03/21/2012 | 09:09:38 | System Boot Initiated | System Restart | Asserted
 12c | 03/21/2012 | 09:09:39 | System Boot Initiated | Initiated by hard reset | Asserted
 12d | 03/21/2012 | 09:09:39 | System Firmware Progress | Memory initialization | Asserted
 12e | 03/21/2012 | 09:09:39 | System Firmware Progress | Primary CPU initialization | Asserted
 12f | 03/21/2012 | 09:09:42 | System Boot Initiated | Initiated by warm reset | Asserted
 130 | 03/21/2012 | 09:09:42 | System Firmware Progress | Memory initialization | Asserted
 131 | 03/21/2012 | 09:09:42 | System Firmware Progress | Primary CPU initialization | Asserted
 132 | 03/21/2012 | 09:09:43 | System Boot Initiated | Initiated by warm reset | Asserted
 133 | 03/21/2012 | 09:09:43 | System Firmware Progress | Memory initialization | Asserted
 134 | 03/21/2012 | 09:09:44 | System Firmware Progress | Primary CPU initialization | Asserted
 135 | 03/21/2012 | 09:09:49 | System ACPI Power State #0x26 | S0/G0: working | Asserted
 136 | 03/21/2012 | 09:09:49 | System ACPI Power State #0x26 | S5/G2: soft-off | Deasserted
 137 | 03/21/2012 | 09:10:20 | System Firmware Progress | Management controller initialization | Asserted
 138 | 03/21/2012 | 09:10:20 | System Firmware Progress | Secondary CPU Initialization | Asserted
 139 | 03/21/2012 | 09:10:29 | System Firmware Progress | Video initialization | Asserted
 13a | 03/21/2012 | 09:10:37 | System Firmware Progress | Keyboard controller initialization | Asserted
